-39 -> -0b100111 , -0x27
-36 -> -0b100100 , -0x24
8 -> 0b1000 , 0x8
34 -> 0b100010 , 0x22
17 -> 0b10001 , 0x11
49 -> 0b110001 , 0x31
5 -> 0b101 , 0x5
39 -> 0b100111 , 0x27
0 -> 0b0 , 0x0
33 -> 0b100001 , 0x21
12 -> 0b1100 , 0xc
-6 -> -0b110 , -0x6
27 -> 0b11011 , 0x1b
-4 -> -0b100 , -0x4
-38 -> -0b100110 , -0x26
26 -> 0b11010 , 0x1a
49 -> 0b110001 , 0x31
29 -> 0b11101 , 0x1d
42 -> 0b101010 , 0x2a
-16 -> -0b10000 , -0x10
-28 -> -0b11100 , -0x1c
34 -> 0b100010 , 0x22
20 -> 0b10100 , 0x14
0 -> 0b0 , 0x0
25 -> 0b11001 , 0x19
45 -> 0b101101 , 0x2d
3 -> 0b11 , 0x3
-46 -> -0b101110 , -0x2e
-46 -> -0b101110 , -0x2e
29 -> 0b11101 , 0x1d
33 -> 0b100001 , 0x21
29 -> 0b11101 , 0x1d
26 -> 0b11010 , 0x1a
-5 -> -0b101 , -0x5
-36 -> -0b100100 , -0x24
12 -> 0b1100 , 0xc
45 -> 0b101101 , 0x2d
-50 -> -0b110010 , -0x32
0 -> 0b0 , 0x0
-6 -> -0b110 , -0x6
-39 -> -0b100111 , -0x27
35 -> 0b100011 , 0x23
26 -> 0b11010 , 0x1a
-35 -> -0b100011 , -0x23
-42 -> -0b101010 , -0x2a
14 -> 0b1110 , 0xe
-3 -> -0b11 , -0x3
22 -> 0b10110 , 0x16
-47 -> -0b101111 , -0x2f
12 -> 0b1100 , 0xc
-17 -> -0b10001 , -0x11
-31 -> -0b11111 , -0x1f
-25 -> -0b11001 , -0x19
-35 -> -0b100011 , -0x23
-18 -> -0b10010 , -0x12
14 -> 0b1110 , 0xe
37 -> 0b100101 , 0x25
-8 -> -0b1000 , -0x8
-41 -> -0b101001 , -0x29
-50 -> -0b110010 , -0x32
-9 -> -0b1001 , -0x9
2 -> 0b10 , 0x2
12 -> 0b1100 , 0xc
-39 -> -0b100111 , -0x27
-17 -> -0b10001 , -0x11
0 -> 0b0 , 0x0
27 -> 0b11011 , 0x1b
28 -> 0b11100 , 0x1c
45 -> 0b101101 , 0x2d
-44 -> -0b101100 , -0x2c
28 -> 0b11100 , 0x1c
35 -> 0b100011 , 0x23
-33 -> -0b100001 , -0x21
43 -> 0b101011 , 0x2b
-4 -> -0b100 , -0x4
23 -> 0b10111 , 0x17
-49 -> -0b110001 , -0x31
49 -> 0b110001 , 0x31
-7 -> -0b111 , -0x7
-38 -> -0b100110 , -0x26
-45 -> -0b101101 , -0x2d
5 -> 0b101 , 0x5
-21 -> -0b10101 , -0x15
26 -> 0b11010 , 0x1a
-2 -> -0b10 , -0x2
-24 -> -0b11000 , -0x18
6 -> 0b110 , 0x6
-45 -> -0b101101 , -0x2d
-4 -> -0b100 , -0x4
15 -> 0b1111 , 0xf
0 -> 0b0 , 0x0
-17 -> -0b10001 , -0x11
-35 -> -0b100011 , -0x23
43 -> 0b101011 , 0x2b
45 -> 0b101101 , 0x2d
-35 -> -0b100011 , -0x23
-8 -> -0b1000 , -0x8
28 -> 0b11100 , 0x1c
47 -> 0b101111 , 0x2f
34 -> 0b100010 , 0x22
-24 -> -0b11000 , -0x18
-42 -> -0b101010 , -0x2a
-13 -> -0b1101 , -0xd
14 -> 0b1110 , 0xe
-45 -> -0b101101 , -0x2d
-35 -> -0b100011 , -0x23
27 -> 0b11011 , 0x1b
-12 -> -0b1100 , -0xc
-19 -> -0b10011 , -0x13
-20 -> -0b10100 , -0x14
-14 -> -0b1110 , -0xe
20 -> 0b10100 , 0x14
30 -> 0b11110 , 0x1e
12 -> 0b1100 , 0xc
-36 -> -0b100100 , -0x24
-47 -> -0b101111 , -0x2f
-27 -> -0b11011 , -0x1b
-3 -> -0b11 , -0x3
6 -> 0b110 , 0x6
36 -> 0b100100 , 0x24
9 -> 0b1001 , 0x9
-16 -> -0b10000 , -0x10
36 -> 0b100100 , 0x24
-27 -> -0b11011 , -0x1b
7 -> 0b111 , 0x7
-6 -> -0b110 , -0x6
-5 -> -0b101 , -0x5
5 -> 0b101 , 0x5
47 -> 0b101111 , 0x2f
23 -> 0b10111 , 0x17
-48 -> -0b110000 , -0x30
-24 -> -0b11000 , -0x18
40 -> 0b101000 , 0x28
-4 -> -0b100 , -0x4
-18 -> -0b10010 , -0x12
-19 -> -0b10011 , -0x13
14 -> 0b1110 , 0xe
15 -> 0b1111 , 0xf
1 -> 0b1 , 0x1
24 -> 0b11000 , 0x18
-9 -> -0b1001 , -0x9
-50 -> -0b110010 , -0x32
18 -> 0b10010 , 0x12
15 -> 0b1111 , 0xf
30 -> 0b11110 , 0x1e
44 -> 0b101100 , 0x2c
9 -> 0b1001 , 0x9
19 -> 0b10011 , 0x13
33 -> 0b100001 , 0x21
41 -> 0b101001 , 0x29
-24 -> -0b11000 , -0x18
43 -> 0b101011 , 0x2b
48 -> 0b110000 , 0x30
-23 -> -0b10111 , -0x17
7 -> 0b111 , 0x7
28 -> 0b11100 , 0x1c
8 -> 0b1000 , 0x8
-2 -> -0b10 , -0x2
37 -> 0b100101 , 0x25
42 -> 0b101010 , 0x2a
-17 -> -0b10001 , -0x11
-6 -> -0b110 , -0x6
36 -> 0b100100 , 0x24
22 -> 0b10110 , 0x16
27 -> 0b11011 , 0x1b
31 -> 0b11111 , 0x1f
-47 -> -0b101111 , -0x2f
-43 -> -0b101011 , -0x2b
0 -> 0b0 , 0x0
27 -> 0b11011 , 0x1b
30 -> 0b11110 , 0x1e
12 -> 0b1100 , 0xc
-15 -> -0b1111 , -0xf
-19 -> -0b10011 , -0x13
-42 -> -0b101010 , -0x2a
-37 -> -0b100101 , -0x25
31 -> 0b11111 , 0x1f
-10 -> -0b1010 , -0xa
18 -> 0b10010 , 0x12
33 -> 0b100001 , 0x21
-15 -> -0b1111 , -0xf
17 -> 0b10001 , 0x11
25 -> 0b11001 , 0x19
-25 -> -0b11001 , -0x19
-5 -> -0b101 , -0x5
33 -> 0b100001 , 0x21
-13 -> -0b1101 , -0xd
33 -> 0b100001 , 0x21
-10 -> -0b1010 , -0xa
47 -> 0b101111 , 0x2f
47 -> 0b101111 , 0x2f
-13 -> -0b1101 , -0xd
-32 -> -0b100000 , -0x20
1 -> 0b1 , 0x1
1 -> 0b1 , 0x1
-25 -> -0b11001 , -0x19
-33 -> -0b100001 , -0x21
16 -> 0b10000 , 0x10
17 -> 0b10001 , 0x11
4 -> 0b100 , 0x4
